shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,LA PIUMA MARCA EXCLUSIVA,12540,20900,15675,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,GATO NEGRO,29340,48900,36675,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,ITYNERA MARCA EXCLUSIVA,0,0,45900,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,41340,68900,51675,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,ZONIN,26340,43900,32925,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,PICCINI,29520,49200,36900,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,MEDICI ERMETE,0,46400,39700,14
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,ZONIN,27000,45000,33750,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,PICCINI,29580,49300,36975,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,MARQUES DE RISCAL,40500,67500,50625,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,MARQUES DE RISCAL,81600,136000,102000,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,GATO NEGRO,29160,48600,36450,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,64140,106900,80175,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,RAMON BILBAO,81900,136500,102375,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,45300,75500,56625,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,DOM PERIGNON,1690200,2817000,2112750,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,GATO NEGRO,29160,48600,36450,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,TERRA SERENA MARCA EXCLUSIVA,33540,55900,41925,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,JP CHENET,0,11200,8400,25
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,LAS MORAS,45360,75600,52920,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,PROTOS,65940,109900,82425,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,TRES MEDALLAS,29640,49400,32604,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,50940,84900,63675,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,TRES MEDALLAS,29640,49400,32604,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CASA EL ENEMIGO VIGIL,137820,229700,172275,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,GALLO MARCA EXCLUSIVA,23940,39900,26334,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,LAZO,21060,35100,26325,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,GATO NEGRO,34740,57900,43425,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,RAMON BILBAO,44760,74600,55950,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,28020,46700,35025,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,RIUNITE,28980,48300,36225,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,TRES MEDALLAS,29640,49400,32604,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,NORTON,38460,64100,42306,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,NORTON,33360,55600,36696,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CLETO CHIARLI,32760,54600,40950,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,RIUNITE,29400,49000,36750,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,CATENA ZAPATA,50640,84400,63300,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,LAS MORAS,66780,111300,77910,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,SANTA RITA 120,41580,69300,45738,40
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,vinos,SIN DESCRIPCION,SANTA RITA 120,36120,60200,39732,40
