shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,169900,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,153000,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,287500,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,876100,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,BUCHANAN S,0,215600,172480,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,689900,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,130100,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,JACK DANIELS,0,125000,100000,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,190600,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,JACK DANIELS,0,123000,98400,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,MACALLAN,0,0,373100,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,84800,0
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,199600,159680,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,JACK DANIELS,0,124000,99200,20
CAVA CARULLA,"Bogotá, D.c.",Carulla FreshMarket Calle 140,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,63600,0
