shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,COSTENA,0,0,9500,0
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CORONA,0,17100,13680,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,BUDWEISER,0,16100,12880,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CORONA,0,2900,2320,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,HEINEKEN,0,18000,14400,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,STELLA ARTOIS,0,25700,20560,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,PRIMA MARCA EXCLUSIVA,0,1600,1280,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CLUB COLOMBIA,0,15900,11925,25
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,AGUILA,0,0,12500,0
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CORONA,0,4400,3520,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,HEINEKEN,0,16000,15900,1
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CORONA,0,25800,20640,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,BUDWEISER,0,30400,24320,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,BUDWEISER,0,13500,10800,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,COLA Y POLA,0,0,1700,0
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CORONA,0,18600,14880,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,AGUILA LIGHT,0,0,15400,0
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,COSTENA,0,1600,1590,1
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,STELLA ARTOIS,0,20000,16000,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CLUB COLOMBIA,0,0,2750,0
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,ANDINA,0,14900,10430,30
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,BUDWEISER,0,64200,51360,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,CLUB COLOMBIA,0,0,16300,0
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,STELLA ARTOIS,0,4400,3520,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,ERDINGER,0,13600,10880,20
CAVA CARULLA,Medellín,Carulla Oviedo,cervezas,SIN DESCRIPCION,DUVEL,0,15900,12720,20
