shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,JOSE CUERVO,0,76500,65025,15
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,OLMECA,0,77900,66215,15
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,OLMECA,0,81100,68935,15
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,JOSE CUERVO,0,0,44000,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,JIMADOR,0,101900,81520,20
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,1800,0,215100,172080,20
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,JIMADOR,0,106900,85520,20
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,JOSE CUERVO,0,0,76500,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,PATRON,0,0,207100,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,BANDOLERO MARCA EXCLUSIVA,0,0,65900,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,JIMADOR,0,96900,77520,20
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,OLMECA,0,169900,135920,20
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,CAZADORES,0,0,166900,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,GRAN CENTENARIO,0,0,103100,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,MAESTRO DOBEL,0,0,290200,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,OLMECA,0,43500,36975,15
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,HERRADURA,0,0,204500,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,1800,0,207500,201900,3
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,GRAN CENTENARIO,0,0,152600,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,GRAN CENTENARIO,0,0,103100,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,HERRADURA,0,0,255000,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,JOSE CUERVO,0,0,144300,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,OLMECA,0,169900,135920,20
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,HERRADURA,0,0,307800,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,CAZADORES,0,0,98500,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,CAZADORES,0,0,99700,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,PATRON,0,0,239200,0
CAVA CARULLA,Medellín,Carulla Oviedo,tequilas,SIN DESCRIPCION,PATRON,0,0,249300,0
