shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,LA PIUMA MARCA EXCLUSIVA,12540,20900,15675,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,GATO NEGRO,0,50000,48900,2
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,LA PIUMA MARCA EXCLUSIVA,12540,20900,15675,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,MEDICI ERMETE,26100,43500,32625,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,ITYNERA MARCA EXCLUSIVA,0,48000,45900,4
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,0,71900,68900,4
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,ZONIN,26340,43900,32925,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,PICCINI,30360,50600,37950,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,MEDICI ERMETE,0,46400,43500,6
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,ZONIN,27000,45000,33750,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,PICCINI,30240,50400,37800,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,MARQUES DE RISCAL,81600,136000,102000,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,GATO NEGRO,0,49900,49300,1
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,0,109900,85520,22
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,AMORES,134460,224100,168075,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,RAMON BILBAO,81900,136500,102375,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,45300,75500,56625,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,JP CHENET,0,39600,29700,25
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,GATO NEGRO,0,49400,49300,0
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,TERRA SERENA MARCA EXCLUSIVA,33540,55900,41925,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,JP CHENET,0,11200,8400,25
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,PROTOS,0,117900,109900,7
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,TRES MEDALLAS,0,47000,42800,9
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,50940,84900,63675,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,TRES MEDALLAS,0,47000,42900,9
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,CASA EL ENEMIGO VIGIL,138660,231100,173325,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,SIETE SOLES,12540,20900,15675,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,GALLO MARCA EXCLUSIVA,23940,39900,26334,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,LAZO,21060,35100,26325,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,RAMON BILBAO,44760,74600,55950,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,CASILLERO DEL DIABLO,28320,47200,35400,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,RIUNITE,0,49300,48200,2
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,TRES MEDALLAS,0,47000,42800,9
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,LAS MORAS,0,56000,54900,2
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,NORTON,38460,64100,42306,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,NORTON,0,61000,55600,9
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,CLETO CHIARLI,31680,52800,39600,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,RIUNITE,0,49000,48800,0
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,LAS MORAS,66780,111300,77910,40
CAVA CARULLA,Medellín,Carulla Oviedo,vinos,SIN DESCRIPCION,SANTA RITA 120,0,66000,60200,9
