shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,165000,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,150300,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,884000,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,717500,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,124500,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JACK DANIELS,0,125200,125000,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,188700,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JACK DANIELS,0,123100,123000,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,MACALLAN,0,0,350800,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BUCHANAN S,0,0,87500,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,199600,159680,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,62500,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GLENLIVET,0,181300,145040,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,SOMETHING,0,0,62400,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,OLD PARR,0,0,127300,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,148800,145900,2
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BLACK AND WHITE,0,0,52000,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JAMESON,0,91300,77605,15
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,SOMETHING,0,0,84800,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GLENLIVET,0,158900,111230,30
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,OLD PARR,0,173400,147390,15
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,263000,210400,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,166500,133200,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,MONKEY SHOULDER,0,0,139900,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,158900,127120,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,122900,98320,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,86200,73270,15
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,SINGLETON,0,0,159200,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BULLEIT,0,145600,116480,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,332700,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GLENFIDDICH,0,0,439900,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GLENFIDDICH,0,167900,142715,15
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GLENMORANGIE,0,0,235200,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,SINGLETON,0,0,238200,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GRANT'S,0,75400,62815,17
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,THE FAMOUS GROUSE,0,0,64600,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,ROYAL SALUTE,0,864400,734740,15
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,196200,156960,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,IWAI,0,0,363300,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,SINGLETON,0,0,373400,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,OLD PARR,0,0,100800,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GENTLEMAN,0,0,178400,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GLENFIDDICH,0,0,261400,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BALLANTINES,0,0,58500,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,PASSPORT,0,0,47700,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,JOHNNIE WALKER.,0,0,43000,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GLENMORANGIE,0,0,268300,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,GRANT'S,0,59200,48365,18
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,DEWARS,0,0,125600,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CHIVAS REGAL,0,79900,63920,20
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,CLAN MACGREGOR,0,0,32500,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,TULLAMORE DEW,0,0,79500,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,IWAI,0,0,565600,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,DEWARS,0,0,111600,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,HAIG SUPREME,0,69900,52425,25
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,BLACK AND WHITE,0,0,28200,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,ABERFELDY,0,0,198300,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,TALISKER,0,0,220000,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,WILLIAM LAWSON,0,0,44200,0
CAVA CARULLA,Medellín,Carulla Oviedo,whisky,SIN DESCRIPCION,SOMETHING,0,0,41500,0
