shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,Barranquilla,Store,licores,RON CACIQUE AÑEJO,SIN MARCA,0,0,63900,0
DISLICORES,Barranquilla,Store,licores,WHISKY BUCHANANS DELUXE 12 AÑOS BLENDED,SIN MARCA,0,0,182900,0
DISLICORES,Barranquilla,Store,licores,WHISKY BUCHANANS DELUXE 12 AÑOS BLENDED,SIN MARCA,0,0,137700,0
DISLICORES,Barranquilla,Store,licores,WHISKY BUCHANANS DELUXE 12 AÑOS BLENDED,SIN MARCA,0,0,74600,0
DISLICORES,Barranquilla,Store,licores,WHISKY OLD PARR 12 AÑOS BLENDED,SIN MARCA,0,0,157600,0
DISLICORES,Barranquilla,Store,licores,WHISKY OLD PARR 12 AÑOS BLENDED,SIN MARCA,0,0,125200,0
DISLICORES,Barranquilla,Store,licores,WHISKY OLD PARR 12 AÑOS BLENDED,SIN MARCA,0,0,90800,0
DISLICORES,Barranquilla,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,74100,0
DISLICORES,Barranquilla,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,253600,0
DISLICORES,Barranquilla,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,253600,0
DISLICORES,Barranquilla,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,11900,0
DISLICORES,Barranquilla,Store,licores,WHISKY CHIVAS REGAL 12 AÑOS,SIN MARCA,0,0,119700,0
DISLICORES,Barranquilla,Store,licores,WHISKY BUCHANANS MASTER BLENDED,SIN MARCA,0,0,204700,0
DISLICORES,Barranquilla,Store,licores,WHISKY BUCHANANS MASTER BLENDED,SIN MARCA,0,0,168700,0
DISLICORES,Barranquilla,Store,licores,WHISKY JOHNNIE WALKER BLACK LABEL BLENDED,SIN MARCA,0,0,163600,0
DISLICORES,Barranquilla,Store,licores,WHISKY JOHNNIE WALKER BLACK LABEL BLENDED,SIN MARCA,0,0,71500,0
DISLICORES,Barranquilla,Store,licores,WHISKY JOHNNIE WALKER BLACK LABEL BLENDED,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,licores,CREMA DE WHISKY BAILEYS ORIGINAL,SIN MARCA,0,0,92200,0
DISLICORES,Barranquilla,Store,licores,CREMA DE WHISKY BAILEYS ORIGINAL,SIN MARCA,0,0,92200,0
DISLICORES,Barranquilla,Store,licores,CREMA DE WHISKY BAILEYS ORIGINAL,SIN MARCA,0,0,66500,0
DISLICORES,Barranquilla,Store,licores,WHISKY JOHNNIE WALKER RED LABEL BLENDED,SIN MARCA,0,0,61200,0
DISLICORES,Barranquilla,Store,licores,WHISKY JOHNNIE WALKER RED LABEL BLENDED,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,licores,WHISKY JOHNNIE WALKER RED LABEL BLENDED,SIN MARCA,0,0,40700,0
DISLICORES,Barranquilla,Store,licores,WHISKY BLACK AND WHITE BLENDED,SIN MARCA,0,0,68300,0
DISLICORES,Barranquilla,Store,licores,WHISKY BLACK AND WHITE BLENDED,SIN MARCA,0,0,15600,0
DISLICORES,Barranquilla,Store,licores,WHISKY BLACK AND WHITE BLENDED,SIN MARCA,0,0,50900,0
DISLICORES,Barranquilla,Store,licores,WHISKY BLACK AND WHITE BLENDED,SIN MARCA,0,0,27500,0
DISLICORES,Barranquilla,Store,licores,VODKA ABSOLUT BLUE,SIN MARCA,0,0,75800,0
DISLICORES,Barranquilla,Store,licores,VODKA ABSOLUT BLUE,SIN MARCA,0,0,0,0
