shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL REPOSADO,SIN MARCA,0,0,44900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL REPOSADO,SIN MARCA,0,0,96900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL REPOSADO,SIN MARCA,0,0,80900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO 70,SIN MARCA,0,0,309100,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA REPOSADO,SIN MARCA,0,0,211900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO REPOSADO 750 ML,SIN MARCA,0,0,83900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA GRAN CENTENARIO REPOSADO,SIN MARCA,0,0,88900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA RESERVA 1800 AÑEJO,SIN MARCA,0,0,190900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA CRISTALINO MAESTRO DOBEL DIAMANTE,SIN MARCA,0,0,246900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO ESPECIAL SILVER,SIN MARCA,0,0,80900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO 70,SIN MARCA,0,0,309100,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA REPOSADO,SIN MARCA,0,0,211900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA GRAN CENTENARIO REPOSADO,SIN MARCA,0,0,88900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA SILVER,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA CRISTALINO MAESTRO DOBEL DIAMANTE,SIN MARCA,0,0,246900,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA CRISTALINO 1800,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA AÑEJO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JIMADOR REPOSADO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA DON JULIO RESERVA 1942,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA LEYENDA DEL MILAGRO REPOSADO ESPECIAL,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO RESERVA DE LA FAMILIA EXTRAÑEJO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO PLATINO RESERVA DE LA FAMILIA,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO TRADICIONAL,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA PATRÓN SILVER,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA OLMECA ALTOS PLATA,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA LEYENDA DEL MILAGRO REPOSADO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA HERRADURA ULTRA,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA OLMECA ALTOS REPOSADO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA JOSE CUERVO TRADICIONAL EDICION LIMITADA,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA HERRADURA AÑEJO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA PATRÓN REPOSADO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA HERRADURA REPOSADO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA HERRADURA PLATA,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA 1800 SILVER ESSENTIAL,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA PATRÓN AÑEJO,SIN MARCA,0,0,0,0
DISLICORES,Barranquilla,Store,tequilas,TEQUILA PATRÓN XO CAFÉ,SIN MARCA,0,0,0,0
