shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,Barranquilla,Store,vinos,VINO TINTO PICCINI REGNO LAMBRUSCO,SIN MARCA,0,0,41900,0
DISLICORES,Barranquilla,Store,vinos,VINO ROSADO PICCINI REGNO LAMBRUSCO,SIN MARCA,0,0,41900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO TRAPICHE RESERVA MALBEC,SIN MARCA,0,0,60900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO PICCINI MEMORO VARIETAL,SIN MARCA,0,0,51900,0
DISLICORES,Barranquilla,Store,vinos,VINO BLANCO BCO VENETIAN PICCINI PROSECCO,SIN MARCA,0,0,86900,0
DISLICORES,Barranquilla,Store,vinos,VINO BLANCO PICCINI LAMBRUSCO,SIN MARCA,0,0,41900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO NAVARRO CORREAS COLECCIÓN PRIVADA BLEND MALBEC CABERNET SAUVIGNON MERLOT,SIN MARCA,0,0,75900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO SANTA HELENA RESERVA MERLOT CARMENÉRE,SIN MARCA,0,0,49900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO SANTA HELENA GRAN RESERVA MERLOT,SIN MARCA,0,0,74900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO SANTA HELENA GRAN RESERVA MERLOT,SIN MARCA,0,0,74900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO DOCG PICCINI RESERVA CHIANTI,SIN MARCA,0,0,62900,0
DISLICORES,Barranquilla,Store,vinos,VINO BLANCO PICCINI VENEZIE PINOT GRIGIO,SIN MARCA,0,0,53900,0
DISLICORES,Barranquilla,Store,vinos,VINO BLANCO NAVARRO CORREAS COLECCIÓN PRIVADA CHARDONNAY,SIN MARCA,0,0,75900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO CASTILLO DE MOLINA RESERVA MERLOT,SIN MARCA,0,0,73900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO TRAPICHE BROQUEL MALBEC,SIN MARCA,0,0,80900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO NAVARRO CORREAS COLECCIÓN PRIVADA CABERNET SAUVIGNON,SIN MARCA,0,0,75900,0
DISLICORES,Barranquilla,Store,vinos,VINO TINTO SANTA HELENA GRAN RESERVA CARMENÉRE,SIN MARCA,0,0,74900,0
DISLICORES,Barranquilla,Store,vinos,VINO CASTILLO DE MOLINA PINOT NOIR ROSÉ,SIN MARCA,0,0,73900,0
