shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO PICCINI REGNO LAMBRUSCO,SIN MARCA,0,0,41900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO ROSADO PICCINI REGNO LAMBRUSCO,SIN MARCA,0,0,41900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO TRAPICHE RESERVA MALBEC,SIN MARCA,0,0,60900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO PICCINI MEMORO VARIETAL,SIN MARCA,0,0,51900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO BCO VENETIAN PICCINI PROSECCO,SIN MARCA,0,0,86900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO PICCINI LAMBRUSCO,SIN MARCA,0,0,41900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO NAVARRO CORREAS COLECCIÓN PRIVADA BLEND MALBEC CABERNET SAUVIGNON MERLOT,SIN MARCA,0,0,75900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO SANTA HELENA RESERVA MERLOT CARMENÉRE,SIN MARCA,0,0,49900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO SANTA HELENA GRAN RESERVA MERLOT,SIN MARCA,0,0,74900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO TRAPICHE BROQUEL MALBEC,SIN MARCA,0,0,80900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO SANTA HELENA GRAN RESERVA CARMENÉRE,SIN MARCA,0,0,74900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO CASTILLO DE MOLINA PINOT NOIR ROSÉ,SIN MARCA,0,0,73900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO TRAPICHE RESERVA CABERNET SAUVINGON,SIN MARCA,0,0,60900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO SANTA HELENA RESERVA CARMENÉRE,SIN MARCA,0,0,49900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO CASTILLO DE MOLINA SAUVIGNON BLANC RESERVA,SIN MARCA,0,0,68900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO CASTILLO DE MOLINA RESERVA PINOT NOIR,SIN MARCA,0,0,73900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO SANTA HELENA GRAN RESERVA CABERNET SAUVIGNON,SIN MARCA,0,0,74900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO DOCG PICCINI CHIANTI,SIN MARCA,0,0,58900,0
