shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,Medellín,Store,vinos,VINO TINTO CASTILLO DE MOLINA RESERVA CARMENERE,SIN MARCA,0,0,68900,0
DISLICORES,Medellín,Store,vinos,VINO TINTO TRAPICHE RESERVA CABERNET SAUVINGON,SIN MARCA,0,0,60900,0
DISLICORES,Medellín,Store,vinos,VINO TINTO SANTA HELENA VARIETAL MERLOT,SIN MARCA,0,0,36900,0
DISLICORES,Medellín,Store,vinos,VINO TINTO JOEL GOTT 815 CABERNET SAUVIGNON,SIN MARCA,0,0,89900,0
DISLICORES,Medellín,Store,vinos,VINO BLANCO SANTA HELENA VARIETAL SAUVIGNON BLANC,SIN MARCA,0,0,36900,0
DISLICORES,Medellín,Store,vinos,VINO BLANCO PICCINI MEMORO,SIN MARCA,0,0,51900,0
DISLICORES,Medellín,Store,vinos,VINO BLANCO TOMAS POSTIGO VERDEJO,SIN MARCA,0,0,161000,0
DISLICORES,Medellín,Store,vinos,VINO ROSADO PICCINI MEMORO,SIN MARCA,0,0,51900,0
DISLICORES,Medellín,Store,vinos,VINO TINTO RAMÓN BILBAO CRIANZA TEMPRANILLO,SIN MARCA,0,0,40900,0
DISLICORES,Medellín,Store,vinos,VINO TINTO FINO CEPA 21 TEMPRANILLO,SIN MARCA,0,0,159900,0
DISLICORES,Medellín,Store,vinos,VINO TINTO TRAPICHE FINO MANOS MALBEC,SIN MARCA,0,0,635000,0
DISLICORES,Medellín,Store,vinos,VINO TINTO HITO FINO TEMPRANILLO,SIN MARCA,0,0,95900,0
DISLICORES,Medellín,Store,vinos,VINO ESPUMOSO JP CHENET ICE EDITION ROSÉ,SIN MARCA,0,0,62900,0
DISLICORES,Medellín,Store,vinos,VINO ESPUMOSO JP CHENET ICE EDITION ROSÉ,SIN MARCA,0,0,0,0
DISLICORES,Medellín,Store,vinos,VINO TINTO RAMÓN BILBAO CRIANZA TEMPRANILLO,SIN MARCA,0,0,40900,0
DISLICORES,Medellín,Store,vinos,VINO ESPUMOSO CAVA JAUME SERRA BRUT NATURE,SIN MARCA,0,0,11900,0
DISLICORES,Medellín,Store,vinos,VINO ESPUMOSO CAVA JAUME SERRA BRUT NATURE,SIN MARCA,0,0,0,0
DISLICORES,Medellín,Store,vinos,VINO TINTO RAMÓN BILBAO RESERVA TEMPRANILLO GRACIANO MAZUELO,SIN MARCA,0,0,107900,0
