shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK COSTENA 1980 ML,COSTENA,0,0,9500,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK CORONITA CORONA 1260 ML,CORONA,0,0,16300,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA X 6 LATA DORADA CLUB COLOMBIA 1980 ML,CLUB COLOMBIA,0,0,14550,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA LIGHT SIXPACK AGUILA LIGHT 1980 ML,AGUILA LIGHT,0,0,14400,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK CORONA 2130 ML,CORONA,0,0,23850,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK ANDINA 1980 ML,ANDINA,0,0,13400,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK DOBLE MALTA CLUB COLOMBIA 1980 ML,CLUB COLOMBIA,0,0,14550,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA X 6 LATA ROJA CLUB COLOMBIA 1980 ML,CLUB COLOMBIA,0,0,14550,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY BUCHANANS MASTER X 750 ML,BUCHANAN S,0,0,165000,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY OLD PARR 12 AÑOS X 750 ML,OLD PARR,0,0,135300,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA BOTELLA CORONITA CORONA 210 ML,CORONA,0,0,2820,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA LATA X 24 BUDWEISER 6456 ML,BUDWEISER,0,0,62600,0
EXITO,Barranquilla,Exito Barranquilla,Todas,REFAJO LATA 6 UND COLA Y POLA 330 ML,COLA Y POLA,0,0,9600,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY HAIG CLUBMAN X 700 ML,HAIG CLUB,0,0,39900,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA PURA MALTA SIXPACK POKER 1980 ML,POKER,0,0,14350,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK LATA LA CENTRAL 1980 ML,LA CENTRAL,0,0,10800,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA BELGICA SIXPACK STELLA ARTOIS 1980 ML,STELLA ARTOIS,0,0,25050,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA BOTELLA CORONA 355 ML,CORONA,0,0,3980,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY BUCHANANS 18 AÑOS X 750 ML,BUCHANAN S,0,0,285600,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY 12 AÑOS OLD PARR 1000 MILILITRO,OLD PARR,0,0,171800,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK BELGIUM. STELLA ARTOIS 1614 ML,STELLA ARTOIS,0,0,19200,0
EXITO,Barranquilla,Exito Barranquilla,Todas,VINO TINTO CRUZARES X 750 ML,CRUZARES MARCA EXCLUSIVA,0,0,14950,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY BUCHANANS DELUXE X 1000 ML,BUCHANAN S,0,0,188700,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA LIGHT SIXPACK LATA ANDINA 1980 ML,ANDINA,0,0,12850,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA FOURPACK LA COTIDIANA BOGOTA BEER COMPANY 1076 ML,BOGOTA BEER COMPANY,0,0,9830,0
EXITO,Barranquilla,Exito Barranquilla,Todas,VINO LAMBRUSCO TINTO LA PIUMA MARCA EXCLUSIVA 750 ML,LA PIUMA MARCA EXCLUSIVA,0,27900,20900,25
EXITO,Barranquilla,Exito Barranquilla,Todas,CERVEZA SIXPACK CERVEZA COSTEÑA BACANA 1980 ML,CERVEZA COSTEÑA BACANA,0,0,10650,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY SOMETHING 750 ML,SOMETHING,0,0,61100,0
EXITO,Barranquilla,Exito Barranquilla,Todas,TEQUILA REPOSADO ESPECIAL JOSE CUERVO 750 ML,JOSE CUERVO,0,0,76500,0
EXITO,Barranquilla,Exito Barranquilla,Todas,VINO TINTO CABERNET SAUVIGNON GATO NEGRO 750 ML,GATO NEGRO,0,0,48050,0
EXITO,Barranquilla,Exito Barranquilla,Todas,WHISKY JOHNNIE WALKER RED X 1000 ML,JOHNNIE WALKER.,0,0,81600,0
EXITO,Barranquilla,Exito Barranquilla,Todas,REFAJO LIMONADA COCO SIXPACK COLA Y POLA 1980 M3,COLA Y POLA,0,0,12150,0
EXITO,Barranquilla,Exito Barranquilla,Todas,CHIVAS EXTRA 13 700 CHIVAS REGAL 700 ML,CHIVAS REGAL,0,0,145800,0
EXITO,Barranquilla,Exito Barranquilla,Todas,AGUARDIENTE AMARILLO MANZANARE 750 ML,AGUARDIENTE AMARILLO,0,0,38500,0
EXITO,Barranquilla,Exito Barranquilla,Todas,VODKA X1 SHOTS SABOR A LULO SMIRNOFF 750 ML,SMIRNOFF,0,0,40800,0
EXITO,Barranquilla,Exito Barranquilla,Todas,VINO BLANCO CRUZARES X 750 ML,CRUZARES MARCA EXCLUSIVA,0,0,14950,0
