shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO CRUZARES X 750 ML,CRUZARES MARCA EXCLUSIVA,0,0,14950,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO LAMBRUSCO TINTO LA PIUMA MARCA EXCLUSIVA 750 ML,LA PIUMA MARCA EXCLUSIVA,0,27900,20900,25
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO CABERNET SAUVIGNON GATO NEGRO 750 ML,GATO NEGRO,0,46200,30492,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO BLANCO CRUZARES X 750 ML,CRUZARES MARCA EXCLUSIVA,0,0,14950,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO CABERNET SAUVIGNON SIETE SOLES 750 MILILITRO,SIETE SOLES,0,0,20900,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO SANTA RITA CARMENER TRES MEDALLAS 750 ML,TRES MEDALLAS,0,47000,31020,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO APOTHIC RED 750 ML,APOTHIC RED,0,64900,42834,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO LAMBRUSCO BLANCO LA PIUMA MARCA EXCLUSIVA 750 MILILITRO,LA PIUMA MARCA EXCLUSIVA,0,0,20900,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,V. ESPUMOSO ROSE ICE JP CHENET 750 ML,JP CHENET,0,69200,45672,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO ESPUMOSO SPARKLING ROSE JP CHENET 750 ML,JP CHENET,0,63300,41778,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO MERLOT GATO NEGRO 750 ML,GATO NEGRO,0,46200,30492,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO INSIGNE CARMENERE CARMEN MARCA EXCLUSIVA 750 ML,CARMEN MARCA EXCLUSIVA,0,34900,23034,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO ESPUMOSO DUC DE PARIS MARCA EXCLUSIVA 750 MILILITRO,DUC DE PARIS MARCA EXCLUSIVA,0,19900,13134,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,FIZZY ROSE LATA JP CHENET 250 ML,JP CHENET,0,0,10600,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO ESPUMOSO ICE DEMI SEC. JP CHENET 750 ML,JP CHENET,0,69200,45672,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO MALBEC RESERVA LAS MORAS 750 ML,LAS MORAS,0,72000,47520,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO ESPUMOS SPARKLING ROSE JP JP CHENET 200 ML,JP CHENET,20485,24100,24100,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO ROSADO LAMBRUSCO 750 ML,MEDICI ERMETE,32130,37800,37800,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO BLANCO VERDEJO CABALLITO DE MAR MARCA EXCLUSI 750 ML,CABALLITO DE MAR MARCA EXCLUSI,0,34900,23034,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO MALBEC SANTA JULIA MARCA EXCLUSIVA 750 ML,SANTA JULIA MARCA EXCLUSIVA,0,40900,26994,34
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO INSIGNE MERLOT CARMEN MARCA EXCLUSIVA 750 ML,CARMEN MARCA EXCLUSIVA,29665,34900,34900,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO CARMENERE SANTA HELENA 750 ML,SANTA HELENA,0,43250,34600,20
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,FIZZY ROSE FOURPACK JP CHENET 1000 ML,JP CHENET,0,0,39600,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,vinos,VINO TINTO RIOJA CRIANZA LEALTANZA MARCA EXCLUSIVA 750 ML,LEALTANZA MARCA EXCLUSIVA,0,64900,42834,34
