shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,GLENLIVET FOUNDERS 700 GLENLIVET 700 ML,GLENLIVET,0,158500,118875,25
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,CHIVAS REGAL CHIVAS REGAL 700 ML,CHIVAS REGAL,98260,115600,92480,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,CHIVAS 12 1000 CHIVAS REGAL 1000 ML,CHIVAS REGAL,136850,161000,128800,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,CHIVAS EXTRA 13 700 CHIVAS REGAL 700 ML,CHIVAS REGAL,0,134400,107520,20
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY MIZUNARA CHIVAS REGAL 700 ML,CHIVAS REGAL,163115,191900,153520,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY BUCHANANS DELUXE X 750 ML,BUCHANAN S,122740,144400,144400,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY BUCHANANS MASTER X 750 ML,BUCHANAN S,140250,165000,165000,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY OLD PARR 12 AÑOS X 750 ML,OLD PARR,115005,135300,135300,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY HAIG CLUBMAN X 700 ML,HAIG CLUB,33915,39900,39900,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY BUCHANANS 18 AÑOS X 750 ML,BUCHANAN S,242845,285700,285700,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY 12 AÑOS OLD PARR 1000 MILILITRO,OLD PARR,145860,171600,171600,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY BUCHANANS DELUXE X 1000 ML,BUCHANAN S,148410,174600,174600,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY SOMETHING 750 ML,SOMETHING,51425,60500,60500,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKEY HONEY JACK DANIELS 750 ML,JACK DANIELS,102085,120100,120100,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY SOMETHING 1000 ML,SOMETHING,70635,83100,83100,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY OLD PARR 12 AÑOS X 500 ML,OLD PARR,80665,94900,94900,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,RON BOTELLA VIEJO DE CALDAS 750 ML,VIEJO DE CALDAS,0,0,44900,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY RED LABEL JOHNNIE WALKER. 700 ML,JOHNNIE WALKER.,0,61200,52020,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY BLACK AND WHITE 8 AÑOS X 700 ML,BLACK AND WHITE,42925,50500,50500,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY BLACK LABEL 12 AÑOS JOHNNIE WALKER. 700 MILILITRO,JOHNNIE WALKER.,107355,126300,126300,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKEY BOTELLA JACK DANIELS 750 ML,JACK DANIELS,103870,122200,122200,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY MALTS EDITION BUCHANAN S 750 ML,BUCHANAN S,0,214300,182155,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,CHIVAS 12 1000 CHIVAS REGAL 1000 ML,CHIVAS REGAL,136850,161000,128800,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,CHIVAS REGAL CHIVAS REGAL 700 ML,CHIVAS REGAL,98260,115600,92480,0
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY DOUBLE BLACK BLENDED X 700 ML,JOHNNIE WALKER.,0,150800,128180,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,WHISKY OLD PARR 18 AÑOS X 750 ML,OLD PARR,231795,272700,272700,15
EXITO,"Bogotá, D.c.",EXITO Calle 80,whisky-ron-brandy-conac,RON GRAN RSVA 15AOS VIEJO DE CALDAS 750 ML,VIEJO DE CALDAS,0,0,118700,0
