shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO LA CELIA RESERVA MALBEC,SIN MARCA,0,0,57900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO LA CELIA RESERVA MALBEC CABERNET FRANC,SIN MARCA,0,0,57900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO LA CELIA RESERVA ELITE MALBEC,SIN MARCA,0,0,111900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO 9 LIVES RESERVA ENSAMBLAJE CABERNET SAUVIGNON SYRAH,SIN MARCA,0,0,55900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO LA CELIA RESERVA CHARDONNAY,SIN MARCA,0,0,57900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO JP CHENET VARIETAL CHARDONNAY,SIN MARCA,0,0,48900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO LA CELIA CABERNET SAUVIGNON RESERVA,SIN MARCA,0,0,57900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO CASTILLO DE MOLINA PINOT NOIR ROSÉ,SIN MARCA,0,73900,55425,25
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO LA CELIA RESERVA PIONEER MALBEC,SIN MARCA,0,0,84900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO TINTO CASTILLO DE MOLINA RESERVA MERLOT,SIN MARCA,0,0,73900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO CASTILLO DE MOLINA SAUVIGNON BLANC RESERVA,SIN MARCA,0,0,68900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO GATO NEGRO 9 LIVES RESERVA SAUVIGNON BLANC,SIN MARCA,0,0,55900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO JP CHENET CINSAULT GRENACHE,SIN MARCA,0,0,48900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO BLANCO LA CELIA PIONEER CHARDONNAY,SIN MARCA,0,0,84900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO ESPUMOSO JP CHENET ICE EDITION ROSÉ,SIN MARCA,0,0,62900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO ESPUMOSO JP CHENET ICE EDITION ROSÉ,SIN MARCA,0,0,21900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO ESPUMOSO PROSECCO MIONETTO BRUT GLERA,SIN MARCA,0,0,135900,0
DISLICORES,"Bogotá, D.c.",Store,vinos,VINO ESPUMOSO PROSECCO MIONETTO BRUT GLERA,SIN MARCA,0,0,67900,0
