shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK COSTENA 1980 ML,COSTENA,0,0,9500,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK CORONITA CORONA 1260 ML,CORONA,0,0,15450,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA X 6 LATA DORADA CLUB COLOMBIA 1980 ML,CLUB COLOMBIA,0,0,14550,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA LATA SIXPACK AGUILA 1980 ML,AGUILA,0,0,12850,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK CORONA 2130 ML,CORONA,0,0,23950,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK ANDINA 1980 ML,ANDINA,0,0,13550,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK DOBLE MALTA CLUB COLOMBIA 1980 ML,CLUB COLOMBIA,0,0,14550,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA X 6 LATA ROJA CLUB COLOMBIA 1980 ML,CLUB COLOMBIA,0,0,14550,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA LATA 6 UND BUDWEISER 269 ML,BUDWEISER,0,0,15500,0
EXITO,Medellín,Exito Envigado,Todas,WHISKY BUCHANANS DELUXE X 750 ML,BUCHANAN S,0,0,145900,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA LATA COSTENA 330 ML,COSTENA,0,0,1590,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA EXTRA SIXPACK CORONA 1614 ML,CORONA,0,0,18150,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA EN LATA SIXPACK PILSEN 1980 ML,PILSEN,0,0,14350,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA NEGRA LATA 6 UND CLUB COLOMBIA 330 ML,CLUB COLOMBIA,0,0,14550,0
EXITO,Medellín,Exito Envigado,Todas,WHISKY BUCHANANS MASTER X 750 ML,BUCHANAN S,0,0,159900,0
EXITO,Medellín,Exito Envigado,Todas,WHISKY OLD PARR 12 AÑOS X 750 ML,OLD PARR,0,0,129900,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA BOTELLA CORONITA CORONA 210 ML,CORONA,0,0,2580,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA LATA X 24 BUDWEISER 6456 ML,BUDWEISER,0,0,62600,0
EXITO,Medellín,Exito Envigado,Todas,REFAJO LATA 6 UND COLA Y POLA 330 ML,COLA Y POLA,0,0,9180,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA PURA MALTA SIXPACK POKER 1980 ML,POKER,0,0,14350,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK LATA LA CENTRAL 1980 ML,LA CENTRAL,0,0,10800,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA BELGICA SIXPACK STELLA ARTOIS 1980 ML,STELLA ARTOIS,0,0,25050,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA BOTELLA CORONA 355 ML,CORONA,0,0,4230,0
EXITO,Medellín,Exito Envigado,Todas,WHISKY 12 AÑOS OLD PARR 1000 MILILITRO,OLD PARR,0,0,168300,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK BELGIUM. STELLA ARTOIS 1614 ML,STELLA ARTOIS,0,0,19200,0
EXITO,Medellín,Exito Envigado,Todas,VINO TINTO CRUZARES X 750 ML,CRUZARES MARCA EXCLUSIVA,0,0,14950,0
EXITO,Medellín,Exito Envigado,Todas,WHISKY BUCHANANS DELUXE X 1000 ML,BUCHANAN S,0,0,188700,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA LATA 12 UND BUDWEISER 269 ML,BUDWEISER,0,0,28900,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA LIGHT SIXPACK LATA ANDINA 1980 ML,ANDINA,0,0,13800,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA BOTELLA 6 UND BUDWEISER 250 ML,BUDWEISER,0,0,12550,0
EXITO,Medellín,Exito Envigado,Todas,CERVEZA FOURPACK LA COTIDIANA BOGOTA BEER COMPANY 1076 ML,BOGOTA BEER COMPANY,0,0,10700,0
EXITO,Medellín,Exito Envigado,Todas,VINO LAMBRUSCO TINTO LA PIUMA MARCA EXCLUSIVA 750 ML,LA PIUMA MARCA EXCLUSIVA,0,27900,20900,25
EXITO,Medellín,Exito Envigado,Todas,CERVEZA SIXPACK CERVEZA COSTEÑA BACANA 1980 ML,CERVEZA COSTEÑA BACANA,0,0,11150,0
EXITO,Medellín,Exito Envigado,Todas,WHISKY SOMETHING 750 ML,SOMETHING,0,0,61100,0
EXITO,Medellín,Exito Envigado,Todas,TEQUILA REPOSADO ESPECIAL JOSE CUERVO 750 ML,JOSE CUERVO,0,0,76500,0
EXITO,Medellín,Exito Envigado,Todas,VINO TINTO CABERNET SAUVIGNON GATO NEGRO 750 ML,GATO NEGRO,0,0,46950,0
EXITO,Medellín,Exito Envigado,Todas,WHISKY JOHNNIE WALKER RED X 1000 ML,JOHNNIE WALKER.,0,0,81600,0
EXITO,Medellín,Exito Envigado,Todas,CHIVAS EXTRA 13 700 CHIVAS REGAL 700 ML,CHIVAS REGAL,0,0,145800,0
EXITO,Medellín,Exito Envigado,Todas,VODKA X1 SHOTS SABOR A LULO SMIRNOFF 750 ML,SMIRNOFF,0,0,40800,0
