shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA JOSE CUERVO ESPECIAL BOTELLA X 750ML,JOSE CUERVO,0,0,74500,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA EL JIMADOR REPOSADO BOTELLA X 750 ML,JIMADOR,0,0,101990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,APERITIVO JAGERMEISTER BOTELLA X 700 ML,JAGERMEISTER,0,0,95990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA OLMECA REPOSADO BOTELLA X 700 ML,OLMECA,0,0,77900,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA OLMECA BLANCO BOTELLA X700ML,OLMECA,0,0,77900,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA JOSE CUERVO SILVER BOTELLA X 750ML,JOSE CUERVO,0,0,74890,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA DON JULIO BLANCO X700ML,DON JULIO,0,0,209990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA PATRON SILVER X700ML,PATRON,0,0,209990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,MEZCAL AMORES BOTELLA X 700ML,AMORES,0,0,175990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA OLMECA REPOSADO X700ML,OLMECA,0,0,169900,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA JOSE CUERVO ESPECIAL X 375 ML,JOSE CUERVO,0,0,48690,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,APERITIVO JAGERMEISTER BOTELLA X350ML,JAGERMEISTER,0,0,53990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA PATRON REPOSADO X700ML,PATRON,0,0,239990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA MILAGRO SELECT BARREL X 750 ML,MILAGRO,0,0,228000,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA JIMADOR BLANCO X 750 ML,JIMADOR,0,0,95990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA JIMADOR CRISTALINO X 700 ML,JIMADOR,0,0,107990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA CAZADORES REPOSADO X700ML,CAZADORES,0,0,103990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA RESERVA 1800 AÑEJO X 750 ML,1800,0,0,213790,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA RESERVA 1800 REPOSADO X 750 ML,1800,0,0,183090,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA OLMECA BLANCO X1000ML,OLMECA,0,0,103990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA EL JIMADOR REPOSADO AGAVE X 375ML,JIMADOR,0,0,55990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,MEZCAL UNION EL JOVEN X700 ML,UNION,0,0,157590,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA CENTENARIO REPOSADO BOTX700ML,CENTENARIO,0,0,97390,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA MAESTRO DOBEL DIAMANTE REPOSADO BOT X700ML,MAESTRO,0,0,277290,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA MILAGRO REPOSADO X 750 ML,MILAGRO,0,0,198000,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA 1800 RESERVA ANEJO CRISTALINO BOTX700ML,1800,0,0,244490,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA RESERVA 1800 SILVER X750 ML,1800,0,0,176990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA PATRON AÑEJO X700ML,PATRON,0,0,269990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA CENTENARIO PLATA BOT X700ML,CENTENARIO,0,0,97790,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA CENTENARIO PLATA X700MLGRATIS 2 COPAS CRISTAL,CENTENARIO,0,0,97990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA CENTENARIO AÑEJO BOT X700ML,CENTENARIO,0,0,150790,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,MEZCAL AMORES CUPREATA ARTESANAL X700ML,AMORES,0,0,287990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA HERRADURA ULTRA X750ML,HERRADURA,0,0,229990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA ANEJO DON JULIO X 750 ML,DON JULIO,0,0,244990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA OLMECA REPOSADO X1000ML,OLMECA,0,0,103990,0
JUMBO,Medellin,Nacional,tequilas-y-piscos,TEQUILA HERRADURA REPOSADO BOT X750CM3,HERRADURA,0,0,191990,0
