shop,city,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,Medellin,VINO LHERITAGE CABERNET SAUVIGNON X 750ML,LHERITAGE,0,0,25990,0
JUMBO,Medellin,VINO PEÑASOL BLANCO X 750ML,PENASOL,0,0,15990,0
JUMBO,Medellin,VINO BORDEAUX TINTO X 750ML,BORDEAUX,0,0,26990,0
JUMBO,Medellin,VINO TINTO MERLOT CLÁSICO - PANUL BOTELLA X 750 ML,PANUL,0,0,18990,0
JUMBO,Medellin,VINO TINTO FRONTERA CABERNET SAUVIGNON X750ML,FRONTERA,0,0,41990,0
JUMBO,Medellin,VINO TINTO GATO NEGRO CABERNET SAUVIGNON X 750ML,GATO NEGRO,0,0,44990,0
JUMBO,Medellin,VINO PEÑASOL TEMPRANILLO GARNACHA X 3L,PENASOL,0,0,41990,0
JUMBO,Medellin,VINO CASILLERO DEL DIABLO CABERNET SAUV BOTX750ML,CASILLERO DEL DIABLO,0,0,69990,0
JUMBO,Medellin,VINO BORDEAUX LE PETIV CAVE X 750ML TINTO,BORDEAUX,0,0,26990,0
JUMBO,Medellin,VINO TINTO PEÑASOL X 750ML,PENASOL,0,0,15990,0
JUMBO,Medellin,VINO TINTO SANTA RITA TRES MEDALLAS MERLOT BOTELLA X 750 ML,SANTA RITA,0,0,41990,0
JUMBO,Medellin,VINO BLANCO ALEMÁN LIEBFRAUMILCH RHEINHESSEN BLUE RHIN X 750 ML,BLUE RHIN,0,0,26990,0
JUMBO,Medellin,VINO TINTO FINCA LAS MORAS MALBEC BOT.X750ML,LAS MORAS,0,0,50290,0
JUMBO,Medellin,VINO GATO MERLOTX750 ML,GATO NEGRO,0,0,44990,0
JUMBO,Medellin,VINO TINTO FINCA LAS MORAS CABER X750 ML,LAS MORAS,0,0,50990,0
JUMBO,Medellin,VINO FRONTERA MERLOT X 750ML,CONCHA Y TORO,0,0,41990,0
JUMBO,Medellin,VINO TINTO CARMENERE CLÁSICO PANUL BOTELLA X 750 ML,FRIENDRICHS,0,0,18990,0
JUMBO,Medellin,VINO TINTO GATO NEGRO CABERNET MERLOT X750ML,GATO NEGRO,0,0,45990,0
JUMBO,Medellin,VINO TINTO SANTA RITA TRES MEDAL CARMENERE BOTELLA X750ML,SANTA RITA,0,0,41990,0
JUMBO,Medellin,VINO PANUL BLANCO CHARDONNAY CLÁSICO BOTELLA X 750 ML,PANUL,0,0,18990,0
JUMBO,Medellin,VINO LHERITAGE MERLOT X 750ML,LHERITAGE,0,0,25990,0
JUMBO,Medellin,VINO FRONTERA CARMENERE X 750ML,FRONTERA,0,0,41990,0
JUMBO,Medellin,VINO PANUL TINTO CABERNET SAUVIGNON CLÁSICO BOTELLA X 750 ML,PANUL,0,0,18990,0
JUMBO,Medellin,VINO CARMENERE VINTAGE AUTORITAS X 750ML,AUTORITAS,0,0,26590,0
JUMBO,Medellin,VINO TINTO AUTORITAS PINOT NOIR BOTELLA X 750 ML,AUTORITAS,0,0,26590,0
JUMBO,Medellin,VINO BORGO SAN LEO PINOT GRIGIO BOTELLA X750ML,BORGO SAN LEO,0,0,29990,0
