shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
JUMBO,Medellin,Nacional,whisky,WHISKY CHIVAS REGAL 12 AÑOS BOTELLA X700ML,CHIVAS REGAL,0,122900,104465,15
JUMBO,Medellin,Nacional,whisky,WHISKY BUCHANANS DELUXE BOTELLA X 750 ML,BUCHANAN'S,0,0,142990,0
JUMBO,Medellin,Nacional,whisky,CREMA DE WHISKY BAILEYS X 700 ML,BAILEYS,0,0,65990,0
JUMBO,Medellin,Nacional,whisky,WHISKY SOMETHING SPECIAL BOTELLA X750ML,SOMETHING SPECIAL,0,0,59900,0
JUMBO,Medellin,Nacional,whisky,WHISKY OLD PARR 12 AÑOS X 750ML,GRAND OLD,0,0,129990,0
JUMBO,Medellin,Nacional,whisky,MALTA SINGLETON DUFFTOWN 12 AÑOS X700ML,SINGLETON,0,0,149990,0
JUMBO,Medellin,Nacional,whisky,WHISKY BUCHANANS MASTER X 750 ML,BUCHANAN'S,0,0,164990,0
JUMBO,Medellin,Nacional,whisky,WHISKY JOHNNIE WALKER RED LABEL X1000ML,JOHNNIE WALKER,0,79990,67991,15
JUMBO,Medellin,Nacional,whisky,WHISKY OLD PARR 12 AÑOS X 1000ML,GRAND OLD,0,0,164990,0
JUMBO,Medellin,Nacional,whisky,WHISKY SOMETHING SPECIAL X1000ML,SOMETHING SPECIAL,0,79900,63920,20
JUMBO,Medellin,Nacional,whisky,WHISKY BLACK & WHITE 8 AÑOS BOTELLA X 700ML,BLACK AND WHITE,0,0,49990,0
JUMBO,Medellin,Nacional,whisky,WHISKEY JACK DANIEL`S TENNESSEE X750CM3,JACK DANIEL'S,0,0,107990,0
JUMBO,Medellin,Nacional,whisky,WHISKY SIR EDWARDS X 700ML,SIR EDWARDS,0,0,45990,0
JUMBO,Medellin,Nacional,whisky,WHISKY THE GLENLIVET RESERVA FUNDADOR BOTELLA X700ML,THE GLENLIVET,0,0,156900,0
JUMBO,Medellin,Nacional,whisky,CREMA DE WHISKY BAILEYS BOTELLA X 1000ML,BAILEYS,0,0,89990,0
JUMBO,Medellin,Nacional,whisky,WHISKY GRANTS STAND FAST X1L,GRANTS,0,66900,56865,15
JUMBO,Medellin,Nacional,whisky,WHISKY GLENFIDDICH 12 AÑOS RESERVA ESPECIAL X750ML,GLENFIDDICH,0,165990,141091,15
JUMBO,Medellin,Nacional,whisky,WHISKY BUCHANANS DELUXE X 1000ML,BUCHANAN'S,0,184990,157241,15
JUMBO,Medellin,Nacional,whisky,PACK WHISKY OLD PARR 12 AÑOS X750ML + 2 VASOS + 2 PORTAVASOS,OLD PARR,0,0,132990,0
JUMBO,Medellin,Nacional,whisky,WHISKY BUCHANAN'S MALTS EDITION BOTELLA X750ML,BUCHANAN'S,0,0,214990,0
JUMBO,Medellin,Nacional,whisky,WHISKY BUCHANANS 18 AÑOS X 750ML,BUCHANAN'S,0,0,285990,0
JUMBO,Medellin,Nacional,whisky,WHISKY OLD PARR 18 AÑOS X750ML,OLD PARR,0,0,269990,0
JUMBO,Medellin,Nacional,whisky,CREMA DE WHISKY BAILEYS X375ML,BAILEYS,0,0,40190,0
JUMBO,Medellin,Nacional,whisky,WHISKY JHONNIE WALKER RED LABEL X700ML,JOHNNIE WALKER,0,0,59990,0
JUMBO,Medellin,Nacional,whisky,WHISKEY JAMESON IRLANDÉS BOTELLA X700ML,JAMESON,0,0,87690,0
JUMBO,Medellin,Nacional,whisky,WHISKY BALLANTINES FINEST X700ML,BALLANTINES,0,49900,41916,16
JUMBO,Medellin,Nacional,whisky,WHISKY THE GLENLIVET 12 AÑOS BOTELLA X700ML,THE GLENLIVET,0,0,176990,0
JUMBO,Medellin,Nacional,whisky,WHISKY JOHNNIE WALKER BLACK LABEL X700ML,JOHNNIE WALKER,0,0,124990,0
JUMBO,Medellin,Nacional,whisky,CREMA DE RON CHEERS BOTELLA X700 ML,CHEERS,0,0,47690,0
JUMBO,Medellin,Nacional,whisky,WHISKY GRANTS SATND FAST BOT X750ML,GRANTS,0,51900,44115,15
JUMBO,Medellin,Nacional,whisky,CREMA FRUIT AMARULA X 750ML,AMARULA,0,0,59990,0
JUMBO,Medellin,Nacional,whisky,WHISKY JOHNNIE WALKER DOUBLE BLACK X700ML,JOHNNIE WALKER,0,0,159990,0
