shop,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,VINO LHERITAGE CABERNET SAUVIGNON X 750ML,LHERITAGE,0,0,$ 25.990,0
JUMBO,VINO PEÑASOL BLANCO X 750ML,PENASOL,0,0,$ 15.990,0
JUMBO,VINO BORDEAUX TINTO X 750ML,BORDEAUX,0,0,$ 26.990,0
JUMBO,VINO TINTO MERLOT CLÁSICO - PANUL BOTELLA X 750 ML,PANUL,0,0,$ 18.990,0
JUMBO,VINO TINTO FRONTERA CABERNET SAUVIGNON X750ML,FRONTERA,0,0,$ 41.990,0
JUMBO,VINO TINTO GATO NEGRO CABERNET SAUVIGNON X 750ML,GATO NEGRO,0,0,$ 44.990,0
JUMBO,VINO PEÑASOL TEMPRANILLO GARNACHA X 3L,PENASOL,0,0,$ 41.990,0
JUMBO,VINO CASILLERO DEL DIABLO CABERNET SAUV BOTX750ML,CASILLERO DEL DIABLO,0,0,$ 69.990,0
JUMBO,VINO BORDEAUX LE PETIV CAVE X 750ML TINTO,BORDEAUX,0,0,$ 26.990,0
JUMBO,VINO TINTO PEÑASOL X 750ML,PENASOL,0,0,$ 15.990,0
JUMBO,VINO TINTO SANTA RITA TRES MEDALLAS MERLOT BOTELLA X 750 ML,SANTA RITA,0,0,$ 41.990,0
JUMBO,VINO BLANCO ALEMÁN LIEBFRAUMILCH RHEINHESSEN BLUE RHIN X 750 ML,BLUE RHIN,0,0,$ 26.990,0
JUMBO,VINO TINTO FINCA LAS MORAS MALBEC BOT.X750ML,LAS MORAS,0,0,$ 50.290,0
JUMBO,VINO GATO MERLOTX750 ML,GATO NEGRO,0,0,$ 44.990,0
JUMBO,VINO TINTO FINCA LAS MORAS CABER X750 ML,LAS MORAS,0,0,$ 50.990,0
JUMBO,VINO FRONTERA MERLOT X 750ML,CONCHA Y TORO,0,0,$ 41.990,0
JUMBO,VINO TINTO CARMENERE CLÁSICO PANUL BOTELLA X 750 ML,FRIENDRICHS,0,0,$ 18.990,0
JUMBO,VINO TINTO GATO NEGRO CABERNET MERLOT X750ML,GATO NEGRO,0,0,$ 45.990,0
JUMBO,VINO TINTO SANTA RITA TRES MEDAL CARMENERE BOTELLA X750ML,SANTA RITA,0,0,$ 41.990,0
JUMBO,VINO PANUL BLANCO CHARDONNAY CLÁSICO BOTELLA X 750 ML,PANUL,0,0,$ 18.990,0
JUMBO,VINO LHERITAGE MERLOT X 750ML,LHERITAGE,0,0,$ 25.990,0
JUMBO,VINO FRONTERA CARMENERE X 750ML,FRONTERA,0,0,$ 41.990,0
JUMBO,VINO PANUL TINTO CABERNET SAUVIGNON CLÁSICO BOTELLA X 750 ML,PANUL,0,0,$ 18.990,0
JUMBO,VINO CARMENERE VINTAGE AUTORITAS X 750ML,AUTORITAS,0,0,$ 26.590,0
JUMBO,VINO TINTO AUTORITAS PINOT NOIR BOTELLA X 750 ML,AUTORITAS,0,0,$ 26.590,0
JUMBO,VINO CASILLERO DEL DIABLO MERLOTX750ML,CASILLERO DEL DIABLO,0,0,$ 69.990,0
JUMBO,VINO BORGO SAN LEO PINOT GRIGIO BOTELLA X750ML,BORGO SAN LEO,0,0,$ 29.990,0
JUMBO,VINO SANTA RITA TRES MEDALLAS CAB.SAUVIG.BOTX750ML,SANTA RITA,0,0,$ 41.990,0
JUMBO,VINO GATO NEGRO BOTELLA X750ML + BOTELLA X187ML,GATO NEGRO,0,0,$ 44.990,0
JUMBO,VINO TINTO GATO NEGRO CARMENERE X750ML,GATO NEGRO,0,0,$ 45.990,0
JUMBO,VINO FRONTERA CHARDONNAY X750ML,FRONTERA,0,0,$ 41.990,0
JUMBO,VINO MALBEC GATO NEGRO X 750ML,GATO NEGRO,0,0,$ 45.990,0
JUMBO,VINO SEGU OLLE TINTO X 1 LITRO,SEGU OLLE,0,0,$ 24.590,0
JUMBO,VINO MERLOT VINTAGE AUTORITAS X 750ML,AUTORITAS,0,0,$ 25.490,0
JUMBO,VINO TINTO CATENA ZAPATA MALBEC X 750 ML,CATENA,0,0,$ 110.990,0
JUMBO,VINO PEÑASOL AIREN X3L,PENASOL,0,0,$ 39.990,0
JUMBO,VINO LAS CUATRO CUMBRES-TETRA X 1000 CC,CUATRO CUMBRES,0,0,$ 22.590,0
JUMBO,VINO FRONTERA ROSE X 750ML,FRONTERA,0,0,$ 41.990,0
JUMBO,VINO CASILLERO DEL DIABLO CARMENERE BOT X 750CM3,CASILLERO DEL DIABLO,0,0,$ 69.990,0
JUMBO,VINO TINTO LAZO MERLOT BOT.X750ML,LAZO,0,0,$ 35.990,0
JUMBO,VINO LHERITAGE SAUVIGNON BLANC X 750ML,LHERITAGE,0,0,$ 25.990,0
JUMBO,VINO RAMON BILBAO CRIANZA RIOJA 2016 BOTELLA X 750ML,RAMON BILBAO,0,0,$ 71.390,0
JUMBO,VINO TINTO CATENA ZAPATA ALAMOS MALBEC X 750 ML,ALAMOS,0,0,$ 67.990,0
JUMBO,VINO SANTA RITA TRES MEDALLAS ROSE BOTELLA X 750 ML,SANTA RITA,0,0,$ 42.890,0
JUMBO,VINO PANUL ROSE BOTELLA X 750ML,PANUL,0,0,$ 18.990,0
JUMBO,VINO BORGO SAN LEO CHIANTI BOTELLA X750ML,BORGO SAN LEO,0,0,$ 32.990,0
JUMBO,VINO TINTO AUTORITAS CABERNET SAUVIGNON BOTELLA X 4 UND X 187 ML C/U,AUTORITAS,0,0,$ 39.990,0
JUMBO,VINO SANTA CAROLINA TINTO RESERVADO MERLOT X750ML,SANTA CAROLINA,0,0,$ 41.990,0
JUMBO,VINO SANTA HELENA TINTO VARIETAL X375CC,SANTA HELENA,0,0,$ 24.490,0
JUMBO,VINO BLANCO MARQUES DE RISCAL RUEDA X750ML,MARQUES,0,0,$ 71.990,0
JUMBO,VINO BLANCO FINCA LAS MORAS SAUVIGNON BLANC X750ML,LAS MORAS,0,0,$ 50.990,0
JUMBO,VINO BLANCO FINCA LAS MORAS CHARDONNAY X750 ML,LAS MORAS,0,0,$ 50.990,0
JUMBO,VINO SAUVIGNON BLANC VINTAGE AUTORITAS X 750 ML,AUTORITAS,0,0,$ 26.590,0
JUMBO,VINO FRONTERA SAUVIGNON BLANC X 750ML,FRONTERA,0,0,$ 41.990,0
JUMBO,VINO TINTO LEYENDA MERLOT BOTX750ML,LEYENDA,0,0,$ 34.690,0
JUMBO,VINO AUTORITAS ROSE SHIRAZ CABERNET BOTELLA X 750ML,AUTORITAS,0,0,$ 26.990,0
JUMBO,VINO SANTA CAROLINA RESERVADO CABERNET ROSE X 750 ML,SANTA CAROLINA,0,0,$ 42.890,0
JUMBO,VINO BLANCO PANUL SAUVIGNON BLANC X750ML,PANUL,0,0,$ 18.990,0
JUMBO,VINO SEGU OLLE BLANCO BRIK X 1000ML,SEGU OLLE,0,0,$ 24.590,0
JUMBO,COCTEL CARINOSO TINTO VERANO BOTELLA. X 750 ML,CARINOSO,0,0,$ 21.990,0
JUMBO,VINO LAZO CABERNET SAUVIGNON X750ML,LAZO,0,0,$ 35.990,0
JUMBO,VINO TINTO SANTA CAROLINA RESERVADO CARMENERE X 750ML,SANTA CAROLINA,0,0,$ 42.890,0
JUMBO,VINO CASILLERO DEL DIABLO RED BLEND BOTELLA X 750 ML,CASILLERO DEL DIABLO,0,0,$ 69.990,0
JUMBO,VINO BLANCO GATO NEGRO SAUVIGNON X750ML,GATO NEGRO,0,0,$ 45.990,0
JUMBO,VINO ALBAI TINTO TEMPRANILLO RIOJA BOT.X750ML,ALBAI,0,0,$ 30.990,0
JUMBO,VINO GATO ROSADO BOT X750ML,GATO NEGRO,0,0,$ 45.990,0
JUMBO,VINO LAS MORAS ROSE SYRAH X750ML,LAS MORAS,0,0,$ 50.990,0
JUMBO,VINO TINTO LEYENDA CABERNET SAUVIGNON BOT.X750ML,LEYENDA,0,0,$ 35.990,0
JUMBO,VINO TINTO SANTA RITA RESERVADO CABERNET SAUVIGNON BOTELLA X 750 ML,SANTA RITA,0,0,$ 59.190,0
JUMBO,VINO PICCINI LAMBRUSCO REGGIANO TINTO BOTX750ML,PICCINI,0,0,$ 45.990,0
JUMBO,VINO TINTO NAVARRO CORREAS COLECCIÓN PRIVADA MALBEC BOTELLA X 750ML,NAVARRO CORREAS,0,0,$ 83.690,0
JUMBO,VINO BLANCO LAZO SAUVIGNON BLANC BOT.X750ML,LAZO,0,0,$ 35.990,0
JUMBO,VINO TINTO TRAPICHE MALBECX750CM3,TRAPICHE,0,0,$ 53.090,0
JUMBO,VINO TINTO NORTON COLECCION MALBEC X750ML,NORTON,0,0,$ 53.090,0
JUMBO,VINO TINTO CATENA CABERNET FRANC X 750ML,CATENA,0,0,$ 111.990,0
JUMBO,VINO TINTO AUTORITAS MERLOT BOTELLA X 4 UND X 187 ML C/U,AUTORITAS,0,0,$ 39.990,0
JUMBO,VINO BLANCO LEYENDA SAUVIGNON BLANC. BOTX750ML,LEYENDA,0,0,$ 35.990,0
JUMBO,VINO TINTO SANTA RITA RESERVADO MERLOT X 750 ML,SANTA RITA,0,0,$ 59.990,0
JUMBO,VINO DIABLO TINTO DARK RED BOTX750ML,DIABLO,0,0,$ 111.990,0
JUMBO,VINO TINTO CASILLERO DEL DIABLO MABELEC X750ML,CASILLERO DEL DIABLO,0,0,$ 69.990,0
JUMBO,VINO PEÑASOL ROSADO TEMPRANILLO X 750ML,PENASOL,0,0,$ 15.990,0
JUMBO,VINO TINTO SANTA RITA 120 CARMENERE BOTELLA X 750 ML,SANTA RITA,0,0,$ 57.990,0
JUMBO,VINO BLANCO MAIPO CHARDONNAY X 750 ML,VINA MAIPO,0,0,$ 39.990,0
JUMBO,VINO COTE DES ROSES ROSADO LANGUEDOC BOTELLA X 750 ML,COTE DES ROSES,0,0,$ 69.390,0
JUMBO,VINO BORGO SAN LEO SANGIEVESE PUGLIA BOTELLA X750ML,BORGO SAN LEO,0,0,$ 29.990,0
JUMBO,VINO TINTO EL ENEMIGO MALBEC BOT.X750ML,EL ENEMIGO,0,0,$ 159.990,0
JUMBO,VINO TINTO CATENA MALBEC CONSULTA X750ML,CATENA,0,0,$ 111.990,0
JUMBO,VINO GATO NEGRO FOURPACK X 748CM3,GATO NEGRO,0,0,$ 59.190,0
JUMBO,VINO LA CELIA RESERVA MALBEC BOTELLA X 750ML,LA CELIA,0,0,$ 65.290,0
JUMBO,VINO SANTA RITA TRES MEDALLAS CHARDONNAY BOTELLA X750ML,SANTA RITA,0,0,$ 42.890,0
JUMBO,VINO LEYENDA TINTO CARMENERE BOTELLA X 750 ML,LEYENDA,0,0,$ 34.690,0
JUMBO,VINO TRAPICHE MALBEC ROBLEX750CM3,TRAPICHE,0,0,$ 69.390,0
JUMBO,VINO LAS MORAS ORGÁNICO MALBEC X 750ML,LAS MORAS,0,0,$ 61.190,0
JUMBO,VINO MISIONES DE RENGO TINTO CARMENERE BOTX750ML,MISIONES DE RENGO,0,0,$ 44.890,0
JUMBO,VINO LA CELIA RESERVA MALBEC CABERNET FRANCESA BOTELLA X 750ML,LA CELIA,0,0,$ 65.290,0
JUMBO,VINO MISIONES DE RENGO MERLOT BOTX750ML,MISIONES DE RENGO,0,0,$ 44.890,0
JUMBO,VINO TINTO ZUCCARDI MALBEC RESERVA X 750 ML,ZUCCARDI,0,0,$ 77.990,0
JUMBO,VINO TINTO VOLCANES CABERNET SAUVIGNON X 750 ML,VOLCANES,0,0,$ 65.990,0
JUMBO,VINO PROTOS RIBERA DEL DUEROX750CM3,PROTOS,0,0,$ 97.990,0
JUMBO,VINO TINTO BERONIA RIOJA CRIANZA BOT.X750ML,BERONIA CRIANZA,0,0,$ 75.490,0
JUMBO,VINO TINTO SANTA RITA SECRETRESERVECARMENEREX750ML,SANTA RITA,0,0,$ 89.990,0
JUMBO,VINO SANTA HELENA CARMENERE TINTO X750CC,SANTA HELENA,0,0,$ 42.890,0
JUMBO,VINO PICCINI LAMBRUSCO REGGIANO ROSE BOTX750ML,PICCINI,0,0,$ 46.990,0
JUMBO,VINO TINTO NORTON DOC MALBEC BOT.X750ML,NORTON,0,0,$ 63.990,0
JUMBO,VINO TINTO VOLCANES CARMENERE X 750 ML,VOLCANES,0,0,$ 65.990,0
JUMBO,VINO CASILLERO DEL DIABLO SAUVIGNON BLANC X750ML,CASILLERO DEL DIABLO,0,0,$ 69.990,0
