shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
LA LICORERA,Nacional,Store,vino,VINO BARON DE LIRONDEAU BLANC 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,VINO BARON DE LIRONDEAU ROJO 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,VINO BARON DE LIRONDEAU ROSÉ 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,COTES DE PROVENCE ROSÉ X 750 ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,NICOLÁS CATENA ZAPATA X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,NICO BY LUCA X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,MORANDÉ EL PADRE CABERNET FRANC X 750ML,SIN MARCA,0,169900,22500,0
LA LICORERA,Nacional,Store,vino,BELLERUCHE 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,CATENA CABERNET SAUVIGNON X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,MARQUES DE RISCAL RUEDA X 750ML,SIN MARCA,0,79900,22500,0
LA LICORERA,Nacional,Store,vino,MARQUES DE RISCAL RESERVA X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,MARQUES DE RISCAL GRAN RESERVA X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,MARQUÉS DE CÁCERES RIOJA X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,MARQUÉS DE VILLA DE LEYVA CABERNET SAUVIGNON RESERVA ESPECIAL X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,MARQUÉS DE VILLA DE LEYVA SAUVIGNON BLANC X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,MARQUÉS DE VILLA DE LEYVA MERLOT X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,PROSECCO ZONIN BRUT CUVEE X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,AIRE DE PROTOS ROSADO X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,PROTOS TEMPRANILLO ECOLÓGICO X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,PROTOS VERDEJO ECOLÓGICO X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,CATENA CHARDONNAY X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,CATENA APPELLATION TUPUNGATO CHARDONNAY X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,SANTA RITA MEDALLA REAL GRAN RESERVA MERLOT X 750ML,SIN MARCA,0,112900,22500,0
LA LICORERA,Nacional,Store,vino,SANTA RITA MEDALLA REAL SAUVIGNON BLANC X 750ML,SIN MARCA,0,112900,22500,0
LA LICORERA,Nacional,Store,vino,FRONTERA MERLOT X 750ML,SIN MARCA,0,44900,22500,0
LA LICORERA,Nacional,Store,vino,FRONTERA CABERNET SAUVIGNON X 750ML,SIN MARCA,0,44900,22500,0
LA LICORERA,Nacional,Store,vino,FRONTERA ROSÉ X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,FRONTERA SAUVIGNON BLANC X 750ML,SIN MARCA,0,44900,22500,0
LA LICORERA,Nacional,Store,vino,FRONTERA PREMIUM SPARKLING SWEET ROSÉ X 750ML,SIN MARCA,0,0,22500,0
LA LICORERA,Nacional,Store,vino,2 FRONTERA PREMIUM SPARKLING SWEET ROSÉ X 750ML,SIN MARCA,0,0,22500,0
