shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER GREEN LABEL X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,CHIVAS EXTRA 13 AÑOS X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,KILCHOMAN SANAIG X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN 12 AÑOS SHERRY OAK CASK 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,WHISKY IWAI 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,WHISKY IWAI TRADITION 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,WHISKY IWAI COSMO 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,WHISKY MACALLAN NIGHT ON EARTH X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN 12 AÑOS TRIPLE CASK X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN 15 AÑOS DOUBLE CASK X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN 18 AÑOS DOUBLE CASK X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN M X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN NO. 6 X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN RARE CASK BATCH NO 2 X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN REFLEXION X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN 25 AÑOS X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN 30 AÑOS X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN EDITION NO 6 X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,MACALLAN CLASSIC CUT X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,WHISKY CHIVAS 12 AÑOS X 1750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,BALLANTINES FINEST X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,CHIVAS 25 AÑOS X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,PROMO CHIVAS EXTRA 13 AÑOS X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,ROYAL SALUTE 21 X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,ROYAL SALUTE 62 GUN X 1000ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,CHIVAS REGAL ULTIS X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,CHIVAS REGAL MIZUNARA 700 ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,CHIVAS EXTRA 13 YO X 375ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,GRANTS TRIPLE WOOD X 1000ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHN WALKER & SONS PRIVATE COLLECTION - 2015 EDITION X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER 18 AÑOS X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER BLACK LABEL X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER BLUE LABEL X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER BLUE LABEL GHOST AND RARE X 700ML,SIN MARCA,0,1804200,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER DOUBLE BLACK X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER RED LABEL X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,KING GEORGE V JOHNNIE WALKER BLUE LABEL X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,THE JOHN WALKER X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER RED LABEL X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER BLUE LABEL MARIO HERNANDEZ X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER BLUE LABEL AGUAS DE VIDA VERTIENTES 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JOHNNIE WALKER SWING X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,BAILEYS X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,GLENFIDDICH GRAND CRU X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,GLENFIDDICH 15 AÑOS X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,GLENFIDDICH 18 AÑOS X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,WHISKY WHITE WALKER BY JOHNNIE WALKER X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,BAILEYS X 1000ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JACK DANIELS X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JACK DANIELS FIRE X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JACK DANIELS HONEY X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,BAILEYS X 375ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,JACK DANIELS TRILOGIA X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,GENTLEMAN JACK X 750ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,GLENFIDDICH 12 AÑOS X 750ML,SIN MARCA,0,169900,249900,0
LA LICORERA,Nacional,Store,whisky,ROYAL SALUTE 38 YEARS OLD STONE OF DESTINY X 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,GLENLIVET FOUNDERS RESERVE X 700ML,SIN MARCA,0,164900,249900,0
LA LICORERA,Nacional,Store,whisky,GLENLIVET CAPTAINS RESERVE X 700ML,SIN MARCA,0,199900,249900,0
LA LICORERA,Nacional,Store,whisky,LAGAVULIN 16 AÑOS X 700ML,SIN MARCA,0,999900,249900,0
LA LICORERA,Nacional,Store,whisky,CHIVAS 18 AÑOS X 700ML,SIN MARCA,0,259900,249900,0
LA LICORERA,Nacional,Store,whisky,WHISKY CHIVAS 12 700ML,SIN MARCA,0,0,249900,0
LA LICORERA,Nacional,Store,whisky,DEWAR'S 25 AÑOS X 750ML,SIN MARCA,0,0,249900,0
