shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA CLUB COLOMB LATA 6X330 ML,SIN MARCA,0,15150,15150,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA CORONITA FINA 210ML X6,SIN MARCA,0,15700,15700,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA AGUILA LIGHT LATA 6X330 ML,SIN MARCA,0,14000,14000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA BECKS PURE MALT 330ML X6,SIN MARCA,0,12000,12000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA BUDWEISER LATA 269ML X6,SIN MARCA,0,11990,11990,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA ÁGUILA LIGHT EN LATA 269 ML X6 UNDS,SIN MARCA,0,11700,11700,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,WHISKY OLD PARR 12 AÑOS 750 ML,SIN MARCA,0,130000,130000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA BUDWEISER LATA 269ML X12,SIN MARCA,0,25620,25620,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,WHISKY JOHNNIE WALKER RED LABEL 1 LT,SIN MARCA,0,80000,80000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,VINO TINTO SEGÚ OLLÉ CHILENO 1000 ML,SIN MARCA,0,23700,23700,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA STELLA ARTOIS LAGER 330 ML X6 UNDS,SIN MARCA,0,23750,23750,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA CORONA EXTRA FINA 355ML X6,SIN MARCA,0,23900,23900,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,VODKA SMIRNOFF ICE GREEN APPLE 1100 ML X4 UNDS,SIN MARCA,0,25000,25000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,VODKA SMIRNOFF ICE ORIGINAL 1100 ML X4 UNDS,SIN MARCA,0,25000,25000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,WHISKY BLACK & WHITE 700 ML,SIN MARCA,0,50000,50000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA BECKS NR 275ML X6,SIN MARCA,0,11500,11500,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,BEB COLA & POLA LATA 330 ML X 6,SIN MARCA,0,9190,9190,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,WHISKY BLACK & WHITE BLENDED SCOTCH 1 LT,SIN MARCA,0,56950,56950,15
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA HEINEKEN EN LATA 269 ML X6 UNDS,SIN MARCA,0,15000,15000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CREMA DE WHISKY BAILEYS 1 LT,SIN MARCA,0,76500,76500,15
OLIMPICA,ANTIOQUIA,Medellín,Todas,WHISKY OLD PARR 1 LT,SIN MARCA,0,165000,165000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,CERVEZA CLUB COL ROJ LATA 330 ML CJ X6,SIN MARCA,0,15150,15150,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,VINO ESPUMOSO JP CHENET ICE EDITION ROSADO 750 ML,SIN MARCA,0,51075,51075,25
OLIMPICA,ANTIOQUIA,Medellín,Todas,WHISKY BUCHANAN'S MASTER 750 ML,SIN MARCA,0,165000,165000,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,VINO TINTO BODEGA PRIVADA 750 ML,SIN MARCA,0,16990,16990,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,VINO BLANCO SEGÚ OLLÉ CHILENO 1000 ML,SIN MARCA,0,23700,23700,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,VODKA ABSOLUT 700 ML,SIN MARCA,0,73900,73900,0
OLIMPICA,ANTIOQUIA,Medellín,Todas,APERITIVO DUBONNET 750 ML,SIN MARCA,0,53900,53900,0
