shop,city,location,category,name,brand,price_prime,price_regular,price_now,discount
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA CLUB COLOMBIA LATA 330 ML X6 UNDS,SIN MARCA,0,14550,14550,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA CORONITA EXTRA 210 ML X6 UNDS,SIN MARCA,0,14900,14900,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,WHISKY BUCHANAN'S 12 AÑOS 750 ML,SIN MARCA,0,135900,135900,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA AGUILA LIGHT LATA 330 ML X6 UNDS,SIN MARCA,0,13990,13990,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA BECK`S PURE MALT 330 ML X6 UNDS,SIN MARCA,0,8990,8990,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA AUSTEN CLASSIC LAGER 330 ML X6 UNDS,SIN MARCA,0,6900,6900,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA BUDWEISER LATA 269 ML X6 UNDS,SIN MARCA,0,11990,11990,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA ÁGUILA LIGHT EN LATA 269 ML X6 UNDS,SIN MARCA,0,7500,7500,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,WHISKY OLD PARR 12 AÑOS 750 ML,SIN MARCA,0,110500,110500,15
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,CERVEZA BUDWEISER LATA 269 ML X12 UNDS,SIN MARCA,0,29400,29400,0
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,WHISKY JOHNNIE WALKER RED LABEL 1 LT,SIN MARCA,0,67991,67991,15
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,VINO TINTO SEGÚ OLLÉ CHILENO 1000 ML,SIN MARCA,0,16590,16590,30
OLIMPICA,ATLÁNTICO,BARRANQUILLA,Todas,VINO BLANCO SANTA RITA 3 MEDALLAS SAUVIGNON 750 ML,SIN MARCA,0,29770,29770,35
