shop,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,,,,0,,0
JUMBO,CERVEZA CORONITA X6UND X210ML C-U **,CORONITA,$ 15.990,0,$ 15.990,0
JUMBO,VINO LHERITAGE CABERNET SAUVIGNON X 750ML,LHERITAGE,$ 25.990,0,$ 25.990,0
JUMBO,VINO PEÑASOL BLANCO X 750ML,PENASOL,$ 15.990,0,$ 15.990,0
JUMBO,VINO BORDEAUX TINTO X 750ML,BORDEAUX,$ 26.990,0,$ 26.990,0
JUMBO,VINO TINTO MERLOT CLÁSICO - PANUL BOTELLA X 750 ML,PANUL,$ 18.990,0,$ 18.990,0
JUMBO,VINO TINTO FRONTERA CABERNET SAUVIGNON X750ML,FRONTERA,$ 41.990,0,$ 41.990,0
JUMBO,VINO TINTO GATO NEGRO CABERNET SAUVIGNON X 750ML,GATO NEGRO,$ 44.990,0,$ 44.990,0
JUMBO,VINO PEÑASOL TEMPRANILLO GARNACHA X 3L,PENASOL,$ 41.990,0,$ 41.990,0
JUMBO,VINO CASILLERO DEL DIABLO CABERNET SAUV BOTX750ML,CASILLERO DEL DIABLO,$ 69.990,0,$ 69.990,0
JUMBO,VINO BORDEAUX LE PETIV CAVE X 750ML TINTO,BORDEAUX,$ 26.990,0,$ 26.990,0
JUMBO,VINO TINTO PEÑASOL X 750ML,PENASOL,$ 15.990,0,$ 15.990,0
JUMBO,VINO TINTO SANTA RITA TRES MEDALLAS MERLOT BOTELLA X 750 ML,SANTA RITA,$ 41.990,0,$ 41.990,0
JUMBO,VINO BLANCO ALEMÁN LIEBFRAUMILCH RHEINHESSEN BLUE RHIN X 750 ML,BLUE RHIN,$ 26.990,0,$ 26.990,0
JUMBO,VINO TINTO FINCA LAS MORAS MALBEC BOT.X750ML,LAS MORAS,$ 50.290,0,$ 50.290,0
JUMBO,VINO GATO MERLOTX750 ML,GATO NEGRO,$ 44.990,0,$ 44.990,0
JUMBO,VINO TINTO FINCA LAS MORAS CABER X750 ML,LAS MORAS,$ 50.990,0,$ 50.990,0
JUMBO,VINO FRONTERA MERLOT X 750ML,CONCHA Y TORO,$ 41.990,0,$ 41.990,0
JUMBO,VINO TINTO CARMENERE CLÁSICO PANUL BOTELLA X 750 ML,FRIENDRICHS,$ 18.990,0,$ 18.990,0
JUMBO,VINO TINTO GATO NEGRO CABERNET MERLOT X750ML,GATO NEGRO,$ 45.990,0,$ 45.990,0
JUMBO,VINO TINTO SANTA RITA TRES MEDAL CARMENERE BOTELLA X750ML,SANTA RITA,$ 41.990,0,$ 41.990,0
JUMBO,VINO PANUL BLANCO CHARDONNAY CLÁSICO BOTELLA X 750 ML,PANUL,$ 18.990,0,$ 18.990,0
JUMBO,VINO LHERITAGE MERLOT X 750ML,LHERITAGE,$ 25.990,0,$ 25.990,0
JUMBO,VINO FRONTERA CARMENERE X 750ML,FRONTERA,$ 41.990,0,$ 41.990,0
JUMBO,VINO PANUL TINTO CABERNET SAUVIGNON CLÁSICO BOTELLA X 750 ML,PANUL,$ 18.990,0,$ 18.990,0
JUMBO,VINO CARMENERE VINTAGE AUTORITAS X 750ML,AUTORITAS,$ 26.590,0,$ 26.590,0
JUMBO,VINO TINTO AUTORITAS PINOT NOIR BOTELLA X 750 ML,AUTORITAS,$ 26.590,0,$ 26.590,0
JUMBO,VINO CASILLERO DEL DIABLO MERLOTX750ML,CASILLERO DEL DIABLO,$ 69.990,0,$ 69.990,0
JUMBO,VINO BORGO SAN LEO PINOT GRIGIO BOTELLA X750ML,BORGO SAN LEO,$ 29.990,0,$ 29.990,0
JUMBO,VINO SANTA RITA TRES MEDALLAS CAB.SAUVIG.BOTX750ML,SANTA RITA,$ 41.990,0,$ 41.990,0
JUMBO,VINO GATO NEGRO BOTELLA X750ML + BOTELLA X187ML,GATO NEGRO,$ 44.990,0,$ 44.990,0
JUMBO,VINO TINTO GATO NEGRO CARMENERE X750ML,GATO NEGRO,$ 45.990,0,$ 45.990,0
JUMBO,VINO FRONTERA CHARDONNAY X750ML,FRONTERA,$ 41.990,0,$ 41.990,0
JUMBO,VINO MALBEC GATO NEGRO X 750ML,GATO NEGRO,$ 45.990,0,$ 45.990,0
JUMBO,VINO SEGU OLLE TINTO X 1 LITRO,SEGU OLLE,$ 24.590,0,$ 24.590,0
JUMBO,VINO MERLOT VINTAGE AUTORITAS X 750ML,AUTORITAS,$ 25.490,0,$ 25.490,0
JUMBO,VINO TINTO CATENA ZAPATA MALBEC X 750 ML,CATENA,$ 110.990,0,$ 110.990,0
JUMBO,VINO PEÑASOL AIREN X3L,PENASOL,$ 39.990,0,$ 39.990,0
JUMBO,VINO LAS CUATRO CUMBRES-TETRA X 1000 CC,CUATRO CUMBRES,$ 22.590,0,$ 22.590,0
JUMBO,VINO FRONTERA ROSE X 750ML,FRONTERA,$ 41.990,0,$ 41.990,0
JUMBO,VINO CASILLERO DEL DIABLO CARMENERE BOT X 750CM3,CASILLERO DEL DIABLO,$ 69.990,0,$ 69.990,0
