,nombre,precio,presentation
0,Whisky Buchanans Deluxe 12 Años Blended,$ 81.700,375ml
1,Whisky Buchanans Deluxe 12 Años Blended,$ 146.200,750ml
2,Whisky Buchanans Deluxe 12 Años Blended,$ 189.100,1000ml
3,Whisky Old Parr 12 Años Blended,$ 97.000,500ml
4,Whisky Old Parr 12 Años Blended,$ 132.900,750ml
5,Whisky Old Parr 12 Años Blended,$ 168.700,1000ml
6,Whisky Chivas Regal 12 Años,0- AGOTADO,700ml
7,Whisky Chivas Regal 12 Años,0- AGOTADO,1000ml
8,Whisky Chivas Regal 12 Años,$ 11.900,50ml
9,Whisky Chivas Regal 12 Años,$ 11.900,50ml
10,Whisky Chivas Regal 12 Años,0- AGOTADO,375ml
11,Whisky Johnnie Walker Black Label Blended,$ 127.700,700ml
12,Whisky Johnnie Walker Black Label Blended,$ 163.600,1000ml
13,Whisky Johnnie Walker Black Label Blended,$ 71.500,375ml
14,Whisky Buchanans Master Blended,$ 204.700,1000ml
15,Whisky Buchanans Master Blended,$ 168.700,750ml
16,Whisky Johnnie Walker Red Label Blended,$ 40.700,375ml
17,Whisky Johnnie Walker Red Label Blended,$ 61.200,700ml
18,Whisky Johnnie Walker Red Label Blended,$ 40.700,375ml
19,Whisky Black and White Blended,0- AGOTADO,375ml
20,Whisky Black and White Blended,$ 15.600,200ml
21,Whisky Black and White Blended,$ 68.300,1000ml
22,Whisky Black and White Blended,0- AGOTADO,700ml
23,Whisky Chivas Regal Extra 13 Años,0- AGOTADO,700ml
